,"Day : 1 - 2","Day : 2 - 3","Day : 3 - 4"
,"Day : 61 - 62","Day : 62 - 63","Day : 63 - 64"
Revenue,"43,012","43,796","126,153"
"Retail View","43,012","43,796","39,805"
"Wholesales (B2B)",0,0,"74,048"
"Sales E Commerce",0,0,0
Services,0,0,"12,300"
"Research and Development",0,0,0
COGS,"23,685","18,077","73,172"
"Trading Profit","19,327","25,719","52,981"
"Operating Expense View","94,605","52,859","42,876"
"Other Income (Loss)",0,0,0
"Net Profit","(75,278)","(27,140)","10,105"
,"Day : 64 - 65","Day : 65 - 66","Day : 66 - 67"
Revenue,"66,154","123,363","69,797"
"Retail View","66,154","66,015","65,559"
"Wholesales (B2B)",0,"57,348",0
"Sales E Commerce",0,0,"4,238"
Services,0,0,0
"Research and Development",0,0,0
COGS,"28,231","60,002","28,242"
"Trading Profit","37,923","63,361","41,555"
"Operating Expense View","47,791","42,293","52,305"
"Other Income (Loss)",0,0,0
"Net Profit","(9,868)","21,068","(10,750)"
,"Day : 67 - 68","Day : 68 - 69","Day : 69 - 70"
Revenue,"177,227","1,033,266","129,941"
"Retail View","56,327","55,506","56,641"
"Wholesales (B2B)",0,"977,760",0
"Sales E Commerce",0,0,0
Services,"120,900",0,"73,300"
"Research and Development",0,0,0
COGS,"17,464","518,166","9,373"
"Trading Profit","159,763","515,100","120,568"
"Operating Expense View","160,754","80,857","38,866"
"Other Income (Loss)",0,0,0
"Net Profit",(991),"434,243","81,702"
,"Day : 70 - 71","Day : 71 - 72","Day : 72 - 73"
Revenue,"67,199","59,448","52,283"
"Retail View","67,199","59,448","52,283"
"Wholesales (B2B)",0,0,0
"Sales E Commerce",0,0,0
Services,0,0,0
"Research and Development",0,0,0
COGS,"13,211","12,571","10,057"
"Trading Profit","53,988","46,877","42,226"
"Operating Expense View","71,683","54,493","86,294"
"Other Income (Loss)",0,0,0
"Net Profit","(17,695)","(7,616)","(44,068)"
,"Day : 73 - 74","Day : 74 - 75","Day : 75 - 76"
Revenue,"608,656","113,059","67,596"
"Retail View","53,486","53,359","67,596"
"Wholesales (B2B)","555,170",0,0
"Sales E Commerce",0,0,0
Services,0,"59,700",0
"Research and Development",0,0,0
COGS,"385,303","10,622","13,876"
"Trading Profit","223,353","102,437","53,720"
"Operating Expense View","63,561","39,626","88,277"
"Other Income (Loss)",0,0,0
"Net Profit","159,792","62,811","(34,557)"
,"Day : 76 - 77","Day : 77 - 78","Day : 78 - 79"
Revenue,"66,469","229,052","248,537"
"Retail View","66,469","229,052","215,708"
"Wholesales (B2B)",0,0,0
"Sales E Commerce",0,0,"32,829"
Services,0,0,0
"Research and Development",0,0,0
COGS,"1,722","37,744","50,725"
"Trading Profit","64,747","191,308","197,812"
"Operating Expense View","55,816","104,691","122,701"
"Other Income (Loss)",0,0,0
"Net Profit","8,931","86,617","75,111"
,"Day : 79 - 80","Day : 80 - 81","Day : 81 - 82"
Revenue,"630,454","214,682","1,457,691"
"Retail View","205,305","214,682","213,645"
"Wholesales (B2B)","374,720",0,"1,207,960"
